CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58823E+11;30-01-2018 11:30;30-01-2018 11:30;13;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 11:15;30-01-2018 11:15;9;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 11:00;30-01-2018 11:00;16;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 10:45;30-01-2018 10:45;7;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 10:30;30-01-2018 10:30;7;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 10:15;30-01-2018 10:15;6;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 10:00;30-01-2018 10:00;16;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 09:45;30-01-2018 09:45;7;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 09:30;30-01-2018 09:30;8;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 09:15;30-01-2018 09:15;9;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 09:00;30-01-2018 09:00;12;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 08:45;30-01-2018 08:45;8;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 08:30;30-01-2018 08:30;10;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 08:15;30-01-2018 08:15;15;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;30-01-2018 08:00;30-01-2018 08:00;12;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 19:45;29-01-2018 21:31;6395;21;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 19:30;29-01-2018 20:57;5279;20;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 19:15;29-01-2018 20:56;6067;20;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 19:00;29-01-2018 20:56;7002;20;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 18:45;29-01-2018 20:49;7445;20;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 18:30;29-01-2018 18:50;1213;18;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 18:15;29-01-2018 18:27;769;18;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 18:00;29-01-2018 18:01;79;18;e - 18>22;MCEL;ACIMA
2,58823E+11;29-01-2018 17:45;29-01-2018 17:45;12;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 17:30;29-01-2018 17:30;12;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 17:15;29-01-2018 17:15;11;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 17:00;29-01-2018 17:00;20;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 16:45;29-01-2018 16:45;32;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 16:30;29-01-2018 16:30;9;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 16:15;29-01-2018 16:15;4;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 16:00;29-01-2018 16:00;14;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;29-01-2018 15:45;29-01-2018 15:45;9;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 15:30;29-01-2018 15:30;7;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 15:15;29-01-2018 15:15;7;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 15:00;29-01-2018 15:00;24;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 14:45;29-01-2018 14:45;5;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 14:30;29-01-2018 14:30;10;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 14:15;29-01-2018 14:15;11;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 14:00;29-01-2018 14:00;9;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 13:45;29-01-2018 13:45;6;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 13:30;29-01-2018 13:30;10;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 13:15;29-01-2018 13:15;13;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 13:00;29-01-2018 13:00;6;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 12:45;29-01-2018 12:45;4;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 12:30;29-01-2018 12:30;10;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 12:15;29-01-2018 12:15;10;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 12:00;29-01-2018 12:00;7;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;29-01-2018 11:45;29-01-2018 11:45;7;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 11:30;29-01-2018 11:30;13;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 11:15;29-01-2018 11:15;10;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 11:00;29-01-2018 11:00;8;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 10:45;29-01-2018 10:45;5;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 10:30;29-01-2018 10:30;5;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 10:15;29-01-2018 10:15;6;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 10:00;29-01-2018 10:00;13;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 09:45;29-01-2018 09:45;16;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 09:30;29-01-2018 09:30;9;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 09:15;29-01-2018 09:15;15;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 09:00;29-01-2018 09:00;6;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 09:00;29-01-2018 09:00;9;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:45;29-01-2018 08:45;5;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:45;29-01-2018 08:45;7;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:30;29-01-2018 08:30;4;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:30;29-01-2018 08:30;10;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:15;29-01-2018 08:15;13;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:15;29-01-2018 08:15;8;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:00;29-01-2018 08:00;8;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;29-01-2018 08:00;29-01-2018 08:00;12;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 19:45;28-01-2018 20:08;1426;20;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 19:30;28-01-2018 19:50;1235;19;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 19:15;28-01-2018 19:15;31;19;e - 18>22;MCEL;ABAIXO
2,58823E+11;28-01-2018 19:00;28-01-2018 19:03;223;19;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 18:45;28-01-2018 18:49;281;18;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 18:30;28-01-2018 18:45;926;18;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 18:15;28-01-2018 18:22;437;18;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 18:00;28-01-2018 18:30;1827;18;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 17:45;28-01-2018 18:08;1411;18;e - 18>22;MCEL;ACIMA
2,58823E+11;28-01-2018 17:30;28-01-2018 17:59;1791;17;d - 16>18;MCEL;ACIMA
2,58823E+11;28-01-2018 17:15;28-01-2018 17:53;2291;17;d - 16>18;MCEL;ACIMA
2,58823E+11;28-01-2018 17:00;28-01-2018 17:00;8;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;28-01-2018 16:45;28-01-2018 16:45;6;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;28-01-2018 16:30;28-01-2018 16:30;9;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;28-01-2018 16:15;28-01-2018 16:15;8;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;28-01-2018 16:00;28-01-2018 16:00;12;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;28-01-2018 15:45;28-01-2018 15:45;6;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 15:30;28-01-2018 15:30;14;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 15:15;28-01-2018 15:15;6;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 15:00;28-01-2018 15:00;12;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 14:45;28-01-2018 14:45;13;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 14:30;28-01-2018 14:30;10;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 14:15;28-01-2018 14:15;13;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 14:00;28-01-2018 14:00;5;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 13:45;28-01-2018 13:45;11;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 13:30;28-01-2018 13:30;10;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 13:15;28-01-2018 13:15;12;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 13:00;28-01-2018 13:00;11;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 12:45;28-01-2018 12:45;12;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 12:30;28-01-2018 12:30;8;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 12:15;28-01-2018 12:15;11;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 12:00;28-01-2018 12:00;10;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;28-01-2018 11:45;28-01-2018 11:45;13;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 11:30;28-01-2018 11:30;6;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 11:15;28-01-2018 11:15;9;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 11:00;28-01-2018 11:00;7;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 10:45;28-01-2018 10:45;11;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 10:30;28-01-2018 10:30;5;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 10:15;28-01-2018 10:15;8;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 10:00;28-01-2018 10:00;12;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 09:45;28-01-2018 09:45;15;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 09:30;28-01-2018 09:30;6;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 09:15;28-01-2018 09:15;11;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 09:00;28-01-2018 09:00;12;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 09:00;28-01-2018 09:00;6;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:45;28-01-2018 08:45;5;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:45;28-01-2018 08:45;10;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:30;28-01-2018 08:30;8;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:30;28-01-2018 08:30;12;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:15;28-01-2018 08:15;7;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:15;28-01-2018 08:15;14;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:00;28-01-2018 08:00;6;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;28-01-2018 08:00;28-01-2018 08:00;9;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 19:45;27-01-2018 20:41;3414;20;e - 18>22;MCEL;ACIMA
2,58823E+11;27-01-2018 19:30;27-01-2018 20:06;2173;20;e - 18>22;MCEL;ACIMA
2,58823E+11;27-01-2018 19:15;27-01-2018 19:35;1227;19;e - 18>22;MCEL;ACIMA
2,58823E+11;27-01-2018 19:00;27-01-2018 19:01;70;19;e - 18>22;MCEL;ACIMA
2,58823E+11;27-01-2018 18:45;27-01-2018 18:45;8;18;e - 18>22;MCEL;ABAIXO
2,58823E+11;27-01-2018 18:30;27-01-2018 18:30;6;18;e - 18>22;MCEL;ABAIXO
2,58823E+11;27-01-2018 18:15;27-01-2018 18:15;16;18;e - 18>22;MCEL;ABAIXO
2,58823E+11;27-01-2018 18:00;27-01-2018 18:00;7;18;e - 18>22;MCEL;ABAIXO
2,58823E+11;27-01-2018 17:45;27-01-2018 17:45;4;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 17:30;27-01-2018 17:30;6;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 17:15;27-01-2018 17:15;6;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 17:00;27-01-2018 17:00;6;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 16:45;27-01-2018 16:45;12;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 16:30;27-01-2018 16:30;13;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 16:15;27-01-2018 16:15;10;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 16:00;27-01-2018 16:00;8;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;27-01-2018 15:45;27-01-2018 15:45;15;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 15:30;27-01-2018 15:30;5;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 15:15;27-01-2018 15:15;8;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 15:00;27-01-2018 15:00;14;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 14:45;27-01-2018 14:46;71;14;c - 12>16;MCEL;ACIMA
2,58823E+11;27-01-2018 14:30;27-01-2018 14:30;11;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 14:15;27-01-2018 14:15;12;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 14:00;27-01-2018 14:00;12;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 13:45;27-01-2018 13:45;13;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 13:30;27-01-2018 13:30;7;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 13:15;27-01-2018 13:24;574;13;c - 12>16;MCEL;ACIMA
2,58823E+11;27-01-2018 13:00;27-01-2018 13:09;567;13;c - 12>16;MCEL;ACIMA
2,58823E+11;27-01-2018 12:45;27-01-2018 12:46;83;12;c - 12>16;MCEL;ACIMA
