Dia;Numero_SMS;Tipo_Mensagens;Operadora;Canal
01-Dec;176;Enviadas;VDCOM;SMART IZI
02-Dec;95;Enviadas;VDCOM;SMART IZI
03-Dec;55;Enviadas;VDCOM;SMART IZI
04-Dec;141;Enviadas;VDCOM;SMART IZI
05-Dec;129;Enviadas;VDCOM;SMART IZI
06-Dec;130;Enviadas;VDCOM;SMART IZI
07-Dec;110;Enviadas;VDCOM;SMART IZI
08-Dec;129;Enviadas;VDCOM;SMART IZI
09-Dec;48;Enviadas;VDCOM;SMART IZI
10-Dec;84;Enviadas;VDCOM;SMART IZI
11-Dec;118;Enviadas;VDCOM;SMART IZI
12-Dec;121;Enviadas;VDCOM;SMART IZI
13-Dec;157;Enviadas;VDCOM;SMART IZI
14-Dec;109;Enviadas;VDCOM;SMART IZI
15-Dec;271;Enviadas;VDCOM;SMART IZI
16-Dec;65;Enviadas;VDCOM;SMART IZI
17-Dec;137;Enviadas;VDCOM;SMART IZI
18-Dec;186;Enviadas;VDCOM;SMART IZI
19-Dec;159;Enviadas;VDCOM;SMART IZI
20-Dec;159;Enviadas;VDCOM;SMART IZI
21-Dec;166;Enviadas;VDCOM;SMART IZI
22-Dec;164;Enviadas;VDCOM;SMART IZI
23-Dec;95;Enviadas;VDCOM;SMART IZI
24-Dec;93;Enviadas;VDCOM;SMART IZI
25-Dec;53;Enviadas;VDCOM;SMART IZI
26-Dec;157;Enviadas;VDCOM;SMART IZI
27-Dec;123;Enviadas;VDCOM;SMART IZI
28-Dec;139;Enviadas;VDCOM;SMART IZI
29-Dec;152;Enviadas;VDCOM;SMART IZI
30-Dec;99;Enviadas;VDCOM;SMART IZI
31-Dec;84;Enviadas;VDCOM;SMART IZI
